word;log(rank);log(freq)
looking;2.456366033129043;1.8388490907372552
less;2.4578818967339924;1.8388490907372552
carriage;2.459392487759231;1.8388490907372552
pretty;2.4608978427565478;1.8325089127062364
left;2.462397997898956;1.8325089127062364
lady;2.4638929889859074;1.8325089127062364
since;2.4653828514484184;1.8260748027008264
person;2.4668676203541096;1.8260748027008264
perfectly;2.4683473304121573;1.8260748027008264
elton's;2.469822015978163;1.8260748027008264
back;2.4712917110589387;1.8260748027008264
wife;2.4727564493172123;1.8195439355418688
under;2.4742162640762553;1.8195439355418688
true;2.4756711883244296;1.8195439355418688
towards;2.4771212547196626;1.8195439355418688
things;2.4785664955938436;1.8195439355418688
talked;2.4800069429571505;1.8195439355418688
sir;2.481442628502305;1.8195439355418688
ready;2.482873583608754;1.8195439355418688
heart;2.484299839346786;1.8195439355418688
general;2.48572142648158;1.8195439355418688
extremely;2.4871383754771865;1.8195439355418688
either;2.4885507165004443;1.8195439355418688
set;2.4899584794248346;1.8129133566428555
next;2.4913616938342726;1.8129133566428555
comfort;2.4927603890268375;1.8129133566428555
answer;2.494154594018443;1.8129133566428555
afraid;2.4955443375464483;1.8129133566428555
whether;2.496929648073215;1.806179973983887
spirits;2.4983105537896004;1.806179973983887
situation;2.499687082618404;1.806179973983887
put;2.5010592622177517;1.806179973983887
nor;2.5024271199844326;1.806179973983887
marry;2.503790683057181;1.806179973983887
began;2.505149978319906;1.806179973983887
acquaintance;2.506505032404872;1.7993405494535817
through;2.507855871695831;1.792391689498254
therefore;2.509202522331103;1.792391689498254
sorry;2.510545010206612;1.7853298350107671
course;2.5118833609788744;1.7853298350107671
change;2.513217600067939;1.7853298350107671
thinking;2.514547752660286;1.7781512503836436
talk;2.515873843711679;1.7781512503836436
others;2.5171958979499744;1.7781512503836436
known;2.5185139398778875;1.7781512503836436
children;2.519827993775719;1.7781512503836436
bad;2.5211380837040362;1.7781512503836436
superior;2.5224442335063197;1.7708520116421442
return;2.5237464668115646;1.7708520116421442
mean;2.525044807036845;1.7708520116421442
longer;2.526339277389844;1.7708520116421442
dare;2.5276299008713385;1.7708520116421442
attention;2.5289167002776547;1.7708520116421442
assure;2.530199698203082;1.7708520116421442
account;2.531478917042255;1.7708520116421442
taken;2.5327543789924976;1.7634279935629373
leave;2.534026106056135;1.7634279935629373
exactly;2.5352941200427703;1.7634279935629373
years;2.53655844257153;1.7558748556724915
mother;2.537819095073274;1.7558748556724915
making;2.5390760987927767;1.7558748556724915
equal;2.5403294747908736;1.7558748556724915
yourself;2.5415792439465807;1.7481880270062005
why;2.5428254269591797;1.7481880270062005
walk;2.5440680443502757;1.7481880270062005
state;2.545307116465824;1.7481880270062005
sense;2.546542663478131;1.7481880270062005
name;2.5477747053878224;1.7481880270062005
isabella;2.5490032620257876;1.7481880270062005
feeling;2.550228353055094;1.7481880270062005
degree;2.5514499979728753;1.7481880270062005
chapter;2.552668216112193;1.7481880270062005
passed;2.5538830266438746;1.7403626894942439
imagine;2.5550944485783194;1.7403626894942439
business;2.5563025007672873;1.7403626894942439
among;2.5575072019056577;1.7403626894942439
read;2.558708570533166;1.7323937598229686
gave;2.5599066250361124;1.7323937598229686
cold;2.561101383649056;1.7323937598229686
brought;2.5622928644564746;1.7323937598229686
beyond;2.5634810853944106;1.7323937598229686
talking;2.5646660642520893;1.724275869600789
minutes;2.5658478186735176;1.724275869600789
manners;2.56702636615906;1.724275869600789
hand;2.568201724066995;1.724275869600789
directly;2.569373909615046;1.724275869600789
days;2.5705429398818973;1.724275869600789
because;2.571708831808688;1.724275869600789
walked;2.5728716022004803;1.7160033436347992
used;2.574031267727719;1.7160033436347992
satisfied;2.575187844927661;1.7160033436347992
point;2.576341350205793;1.7160033436347992
natural;2.5774917998372255;1.7160033436347992
bear;2.578639209968072;1.7160033436347992
aunt;2.57978359661681;1.7160033436347992
weston's;2.5809249756756194;1.7075701760979363
usual;2.582063362911709;1.7075701760979363
seeing;2.583198773968623;1.7075701760979363
saying;2.584331224367531;1.7075701760979363
eyes;2.5854607295085006;1.7075701760979363
care;2.586587304671755;1.7075701760979363
rest;2.5877109650189114;1.6989700043360187
glad;2.5888317255942073;1.6989700043360187
each;2.5899496013257077;1.6989700043360187
agreeable;2.591064607026499;1.6989700043360187
affection;2.5921767573958667;1.6989700043360187
words;2.593286067020457;1.6901960800285136
wonder;2.5943925503754266;1.6901960800285136
means;2.595496221825574;1.6901960800285136
end;2.59659709562646;1.6901960800285136
donwell;2.597695185925512;1.6901960800285136
dinner;2.598790506763115;1.6901960800285136
cole;2.5998830720736876;1.6901960800285136
brother;2.6009728956867484;1.6901960800285136
appeared;2.6020599913279625;1.6901960800285136
wished;2.603144372620182;1.6812412373755872
society;2.60422605308447;1.6812412373755872
remember;2.6053050461411096;1.6812412373755872
attachment;2.606381365110605;1.6812412373755872
allow;2.6074550232146687;1.6812412373755872
ah;2.6085260335771943;1.6812412373755872
voice;2.60959440922522;1.6720978579357175
took;2.61066016308988;1.6720978579357175
pleased;2.611723308007342;1.6720978579357175
interest;2.6127838567197355;1.6720978579357175
door;2.6138418218760693;1.6720978579357175
daughter;2.6148972160331345;1.6720978579357175
went;2.615950051656401;1.662757831681574
speaking;2.617000341120899;1.662757831681574
particularly;2.6180480967120925;1.662757831681574
near;2.6190933306267428;1.662757831681574
married;2.6201360549737576;1.662757831681574
likely;2.621176281775035;1.662757831681574
giving;2.622214022966295;1.662757831681574
girl;2.6232492903979003;1.662757831681574
full;2.6242820958356683;1.662757831681574
believed;2.625312450961674;1.662757831681574
already;2.6263403673750423;1.662757831681574
against;2.6273658565927325;1.662757831681574
walking;2.6283889300503116;1.6532125137753437
london;2.629409599102719;1.6532125137753437
ladies;2.630427875025024;1.6532125137753437
doing;2.6314437690131722;1.6532125137753437
air;2.6324572921847245;1.6532125137753437
strong;2.6334684555795866;1.6434526764861874
stay;2.6344772701607315;1.6434526764861874
son;2.635483746814912;1.6434526764861874
smile;2.6364878963533656;1.6434526764861874
respect;2.637489729512511;1.6434526764861874
need;2.6384892569546374;1.6434526764861874
farther;2.639486489268586;1.6434526764861874
called;2.640481436970422;1.6434526764861874
regard;2.6414741105040997;1.6334684555795864
meant;2.6424645202421213;1.6334684555795864
hoped;2.6434526764861874;1.6334684555795864
character;2.6444385894678386;1.6334684555795864
campbell;2.645422269349092;1.6334684555795864
ask;2.6464037262230695;1.6334684555795864
spoke;2.6473829701146196;1.6232492903979006
real;2.6483600109809315;1.6232492903979006
proper;2.649334858712142;1.6232492903979006
particular;2.6503075231319366;1.6232492903979006
open;2.651278013998144;1.6232492903979006
five;2.6522463410033232;1.6232492903979006
fine;2.6532125137753435;1.6232492903979006
different;2.6541765418779604;1.6232492903979006
conversation;2.655138434811382;1.6232492903979006
call;2.656098202012832;1.6232492903979006
wrong;2.6570558528571038;1.6127838567197355
taylor;2.6580113966571126;1.6127838567197355
small;2.658964842664435;1.6127838567197355
reason;2.6599162000698504;1.6127838567197355
power;2.660865478003869;1.6127838567197355
pleasant;2.661812685537261;1.6127838567197355
nature;2.662757831681574;1.6127838567197355
impossible;2.663700925389648;1.6127838567197355
expected;2.6646419755561257;1.6127838567197355
early;2.6655809910179533;1.6127838567197355
delightful;2.6665179805548807;1.6127838567197355
afterwards;2.667452952889954;1.6127838567197355
weather;2.66838591669;1.6020599913279623
use;2.6693168805661123;1.6020599913279623
themselves;2.670245853074124;1.6020599913279623
thank;2.6711728427150834;1.6020599913279623
sitting;2.6720978579357175;1.6020599913279623
received;2.673020907128896;1.6020599913279623
night;2.673941998634088;1.6020599913279623
new;2.6748611407378116;1.6020599913279623
letters;2.6757783416740852;1.6020599913279623
kindness;2.6766936096248664;1.6020599913279623
head;2.677606952720493;1.6020599913279623
consider;2.678518379040114;1.6020599913279623
beginning;2.6794278966121188;1.6020599913279623
allowed;2.680335513414563;1.6020599913279623
whose;2.681241237375587;1.591064607026499
thoughts;2.682145076373832;1.591064607026499
sometimes;2.6830470382388496;1.591064607026499
settled;2.683947130751512;1.591064607026499
round;2.6848453616444123;1.591064607026499
returned;2.6857417386022635;1.591064607026499
question;2.6866362692622934;1.591064607026499
please;2.6875289612146345;1.591064607026499
object;2.6884198220027105;1.591064607026499
meeting;2.6893088591236203;1.591064607026499
help;2.690196080028514;1.591064607026499
health;2.6910814921229687;1.591064607026499
fortune;2.69196510276736;1.591064607026499
fond;2.69284691927723;1.591064607026499
father's;2.693726948923647;1.591064607026499
entirely;2.694605198933569;1.591064607026499
dixon;2.6954816764901977;1.591064607026499
creature;2.696356388733332;1.591064607026499
sit;2.6972293427597176;1.5797835966168101
neither;2.6981005456233897;1.5797835966168101
met;2.6989700043360187;1.5797835966168101
handsome;2.699837725867246;1.5797835966168101
got;2.7007037171450192;1.5797835966168101
fancy;2.7015679850559273;1.5797835966168101
engaged;2.7024305364455254;1.5797835966168101
continued;2.7032913781186614;1.5797835966168101
colonel;2.7041505168397992;1.5797835966168101
bring;2.705007959333336;1.5797835966168101
asked;2.7058637122839193;1.5797835966168101
within;2.7067177823367587;1.568201724066995
truth;2.7075701760979363;1.568201724066995
surprize;2.708420900134713;1.568201724066995
seem;2.709269960975831;1.568201724066995
sat;2.7101173651118162;1.568201724066995
convinced;2.710963118995276;1.568201724066995
added;2.711807229041191;1.568201724066995
woodhouse's;2.7126497016272113;1.5563025007672873
temper;2.7134905430939424;1.5563025007672873
probably;2.714329759745233;1.5563025007672873
news;2.7151673578484576;1.5563025007672873
necessary;2.716003343634799;1.5563025007672873
meaning;2.7168377232995247;1.5563025007672873
forward;2.717670503002262;1.5563025007672873
enscombe;2.718501688867274;1.5563025007672873
determined;2.7193312869837265;1.5563025007672873
appear;2.720159303405957;1.5563025007672873
taste;2.7209857441537393;1.5440680443502757
supposed;2.7218106152125467;1.5440680443502757
marriage;2.722633922533812;1.5440680443502757
large;2.7234556720351857;1.5440680443502757
company;2.724275869600789;1.5440680443502757
common;2.725094521081469;1.5440680443502757
child;2.7259116322950483;1.5440680443502757
amiable;2.7267272090265724;1.5440680443502757
perfect;2.727541257028556;1.5314789170422551
pain;2.7283537820212285;1.5314789170422551
obliging;2.72916478969277;1.5314789170422551
keep;2.7299742856995555;1.5314789170422551
goddard's;2.7307822756663893;1.5314789170422551
excellent;2.7315887651867388;1.5314789170422551
comfortable;2.7323937598229686;1.5314789170422551
circumstance;2.7331972651065692;1.5314789170422551
wanting;2.733999286538387;1.5185139398778875
ten;2.734799829588847;1.5185139398778875
sent;2.73559889969818;1.5185139398778875
papa;2.7363965022766426;1.5185139398778875
morrow;2.7371926427047373;1.5185139398778875
knightley's;2.737987326333431;1.5185139398778875
evil;2.738780558484369;1.5185139398778875
dancing;2.739572344450092;1.5185139398778875
acquainted;2.7403626894942437;1.5185139398778875
absolutely;2.741151598851785;1.5185139398778875
surprized;2.741939077729199;1.505149978319906
second;2.7427251313046983;1.505149978319906
robert;2.74350976472843;1.505149978319906
pass;2.7442929831226763;1.505149978319906
men;2.7450747915820575;1.505149978319906
meet;2.745855195173729;1.505149978319906
matter;2.7466341989375787;1.505149978319906
match;2.747411807886423;1.505149978319906
hearing;2.7481880270062002;1.505149978319906
face;2.7489628612561616;1.505149978319906
except;2.749736315569061;1.505149978319906
charming;2.7505083948513462;1.505149978319906
case;2.751279103983342;1.505149978319906
ago;2.7520484478194387;1.505149978319906
spoken;2.7528164311882715;1.4913616938342726
smiling;2.7535830588929064;1.4913616938342726
serious;2.754348335711019;1.4913616938342726
says;2.7551122663950713;1.4913616938342726
resolution;2.7558748556724915;1.4913616938342726
praise;2.756636108245848;1.4913616938342726
persuaded;2.7573960287930244;1.4913616938342726
maple;2.75815462196739;1.4913616938342726
interesting;2.7589118923979736;1.4913616938342726
husband;2.7596678446896306;1.4913616938342726
grove;2.760422483423212;1.4913616938342726
four;2.7611758131557314;1.4913616938342726
fairfax's;2.761927838420529;1.4913616938342726
eye;2.762678563727436;1.4913616938342726
engagement;2.7634279935629373;1.4913616938342726
difference;2.7641761323903307;1.4913616938342726
danger;2.7649229846498886;1.4913616938342726
compliment;2.765668554759014;1.4913616938342726
circumstances;2.7664128471123997;1.4913616938342726
begin;2.7671558660821804;1.4913616938342726
ball;2.767897616018091;1.4913616938342726
anxious;2.7686381012476144;1.4913616938342726
abbey;2.7693773260761385;1.4913616938342726
year;2.7701152947871015;1.4771212547196624
worth;2.7708520116421442;1.4771212547196624
worse;2.7715874808812555;1.4771212547196624
warm;2.77232170672292;1.4771212547196624
twenty;2.7730546933642626;1.4771212547196624
project;2.7737864449811935;1.4771212547196624
months;2.7745169657285498;1.4771212547196624
knows;2.7752462597402365;1.4771212547196624
greater;2.775974331129369;1.4771212547196624
fair;2.776701183988411;1.4771212547196624
drawing;2.7774268223893115;1.4771212547196624
difficulty;2.7781512503836434;1.4771212547196624
delighted;2.7788744720027396;1.4771212547196624
churchill's;2.7795964912578244;1.4771212547196624
appearance;2.780317312140151;1.4771212547196624
week;2.7810369386211318;1.462397997898956
turned;2.781755374652469;1.462397997898956
times;2.782472624166286;1.462397997898956
none;2.7831886910752575;1.462397997898956
merely;2.783903579272735;1.462397997898956
looks;2.784617292632875;1.462397997898956
judgment;2.785329835010767;1.462397997898956
information;2.786041210242554;1.462397997898956
greatest;2.7867514221455614;1.462397997898956
gratitude;2.787460474518415;1.462397997898956
followed;2.788168371141168;1.462397997898956
excuse;2.788875115775417;1.462397997898956
etext;2.7895807121644256;1.462397997898956
cheerful;2.7902851640332416;1.462397997898956
body's;2.790988475088816;1.462397997898956
beauty;2.791690649020118;1.462397997898956
attentions;2.792391689498254;1.462397997898956
actually;2.79309160017658;1.462397997898956
yesterday;2.7937903846908188;1.4471580313422192
whenever;2.7944880466591697;1.4471580313422192
understanding;2.795184589682424;1.4471580313422192
turn;2.7958800173440754;1.4471580313422192
taking;2.7965743332104296;1.4471580313422192
shew;2.7972675408307164;1.4471580313422192
satisfaction;2.797959643737196;1.4471580313422192
resolved;2.798650645445269;1.4471580313422192
occasion;2.7993405494535817;1.4471580313422192
notice;2.8000293592441343;1.4471580313422192
forget;2.800717078282385;1.4471580313422192
easy;2.801403710017355;1.4471580313422192
curiosity;2.802089257881733;1.4471580313422192
ashamed;2.8027737252919755;1.4471580313422192
alone;2.803457115648414;1.4471580313422192
view;2.8041394323353503;1.4313637641589874
tried;2.8048206787211623;1.4313637641589874
tea;2.8055008581584002;1.4313637641589874
table;2.806179973983887;1.4313637641589874
style;2.8068580295188172;1.4313637641589874
spirit;2.807535028068853;1.4313637641589874
sister;2.808210972924222;1.4313637641589874
parties;2.808885867359812;1.4313637641589874
loved;2.8095597146352675;1.4313637641589874
late;2.8102325179950842;1.4313637641589874
instead;2.8109042806687006;1.4313637641589874
honour;2.8115750058705933;1.4313637641589874
happened;2.812244696800369;1.4313637641589874
gentleman;2.8129133566428557;1.4313637641589874
fortunate;2.813580988568192;1.4313637641589874
decided;2.81424759573192;1.4313637641589874
consequence;2.814913181275074;1.4313637641589874
conduct;2.815577748324267;1.4313637641589874
companion;2.816241299991783;1.4313637641589874
clever;2.8169038393756605;1.4313637641589874
certain;2.8175653695597807;1.4313637641589874
also;2.8182258936139557;1.4313637641589874
advantage;2.8188854145940097;1.4313637641589874
work;2.8195439355418688;1.414973347970818
sight;2.82020145948564;1.414973347970818
regret;2.8208579894397;1.414973347970818
pray;2.821513528404773;1.414973347970818
plan;2.8221680793680175;1.414973347970818
plain;2.8228216453031045;1.414973347970818
pity;2.823474229170301;1.414973347970818
pay;2.824125833916549;1.414973347970818
odd;2.824776462475546;1.414973347970818
mine;2.8254261177678233;1.414973347970818
mentioned;2.8260748027008264;1.414973347970818
marrying;2.826722520168992;1.414973347970818
knowledge;2.8273692730538253;1.414973347970818
knowing;2.828015064223977;1.414973347970818
judge;2.82865989653532;1.414973347970818
hours;2.829303772831025;1.414973347970818
friendship;2.829946695941636;1.414973347970818
favour;2.8305886686851442;1.414973347970818
depend;2.8312296938670634;1.414973347970818
crown;2.8318697742805017;1.414973347970818
completely;2.832508912706236;1.414973347970818
campbells;2.833147111912785;1.414973347970818
aware;2.833784374656479;1.414973347970818
written;2.8344207036815328;1.3979400086720377
vain;2.835056101720116;1.3979400086720377
struck;2.8356905714924254;1.3979400086720377
standing;2.8363241157067516;1.3979400086720377
silent;2.8369567370595505;1.3979400086720377
sensible;2.837588438235511;1.3979400086720377
send;2.8382192219076257;1.3979400086720377
sake;2.838849090737255;1.3979400086720377
sad;2.8394780473741985;1.3979400086720377
quiet;2.840106094456758;1.3979400086720377
quarter;2.8407332346118066;1.3979400086720377
note;2.841359470454855;1.3979400086720377
lived;2.8419848045901137;1.3979400086720377
